hall_id,name,hall_vibe,catering,parking_facility,transport_access,bridal_room,guest_flow,pricing_detail,service_etc,disadvantage,in_guarantee,,,,,
1011,보타닉파크 > 카라홀,"밝고 고급스러운 분위기, 채광이 좋고 생화 장식이 풍성함",식대 7.6만원,,,신랑신부 대기실과 혼주 공간이 한 층에 잘 정리되어 있어 편리함,예식 시간대가 겹칠 경우 동선이 복잡할 수 있음,"대관료 650만원, 합리적인 가격",,인기 있는 웨딩홀로 날짜와 시간대 선택 폭이 좁음,200,,,,,
1012,평택·안성 라오 웨딩홀,"깔끔하고 정돈된 분위기, 단독홀 구조로 여유 있는 예식 가능","식대 56,000원, 최소 보증인원 100명",,,,동선이 단순하고 헷갈리지 않음,"패키지 스튜디오 60만원, 드레스 80만원 추가비용","관리가 잘 되어 있는 건물, 예식에 집중하기 좋은 구조",,200,,,,,
1013,수원 라 뷔 포레,"분위기가 마음에 드는 밝고 시원한 홀, 리모델링 예정","750, 음식이 맛있기로 평이 좋음",넉넉한 주차 공간,,신부와 가족 동선이 겹치지 않는 보조 대기실 마련,하객 동선이 겹치지 않아 쾌적한 식사 가능,"7.5, 합리적인 가격으로 보임","1층 카페와 넉넉한 대기 공간 제공, 별도의 스튜디오 있음",조감도만 보고 계약하여 실제 모습에 대한 걱정,150,,,,,
1014,월드컵컨벤션,"이쁜 홀, 충분한 거리로 나눠져 있어 북적이지 않음, 천장에 크리스탈 장식이 있어 사진이 잘 나올 것 같음","식대 750만원, 대관료 8.5만원, 할인가 식대 450만원, 대관료 6.5만원",,,혼주 한복을 내부에서 해결하고 싶었으나 외부 업체 이용,넓은 대기 공간으로 복잡하지 않음,견적 나쁘지 않음,"혼주석이 따로 룸으로 분리되어 있음, 뷔페 퀄리티 좋음",혼주분들이 편하게 내부 업체에서 준비할 수 없었던 점,200,,,,,
1015,부천 소풍컨벤션,"정원 느낌의 밝은 홀, 예쁜 분위기","식대 65,000원, 뷔페 맛있다는 후기 다수","주차장 진출입이 오래 걸림, 3000대 주차 가능","버스터미널과 가까워 지방 하객 접근 용이, 대중교통 이용 추천",,,"대관료 500만원, 엠제이에 비해 저렴한 견적","상담해주신 실장님 친절, 홀 패키지 고민 중",주차장 진입로가 1차로로 진입에 시간이 걸림,150,,,,,
1016,삼성 더베일리하우스,"밝고 예쁜 채플홀, 규모가 작은 편","음료 포함 118,800원, 대관료 1,100만원",,삼성역 바로 앞,,적당한 규모로 북적북적한 분위기,"합리적인 가격, 당일 계약 시 큰 폭의 할인 및 본식 사진 무료 제공","프로듀서가 플래너 역할을 해주며, 제휴된 스드메 업체들이 신뢰감 있음",규모가 작아 300-400명 하객에는 어려움,200,,,,,
1008,삼성 노블발렌티,"차분하면서도 고급스러운 분위기, 천고가 높은 채플홀",비공개,,편리한 교통,,동선이 깔끔하고 하객 이동이 편리함,비공개,"친절한 상담, 신뢰가는 예식장",특별히 아쉬운 점 없음,250,,,,,
1017,영등포 더컨벤션,어두운 홀에 화이트그린 계열 꽃장식이 풍성하고 생화비율이 높음,"11만원, 음식에 대한 평이 좋음",공영주차장이 있지만 주말 점심대에는 붐빌 것 같음,2호선과 5호선 근처에 있어 접근성이 좋음,신부대기실이 바로 옆에 있어 손님들이 찾기 편리함,엘리베이터가 2개밖에 없어 하객 이용에 불편할 수 있음,"1,040만원",혼주 메이크업과 한복이 같은 건물에서 이용 가능,"엘리베이터 수 부족, 주차 공간 붐빔 우려",,,,,,
1018,수원 더마레보호텔&웨딩,"층고가 높고 화이트톤의 세련된 홀, 통창으로 밝은 분위기",개인적으로 퀄리티 대비 가격대가 만족스러움,,,"신부대기실은 꼭대기에 위치, 생화로 꾸며져 기대감이 큼",로비가 작지만 하객들이 홀 안에서 대기하므로 큰 문제 없음,"공유불가, 하지만 만족스러운 가격대","친절한 상담과 따뜻한 차 제공, 디테일한 웨딩 서비스","화환을 받을 수 없음, 화환 중요 시 사전 안내 필요",200,,,,,
1019,용인시 기흥구 ICT밸리컨벤션,"단독홀, 깔끔하고 넓은 주차장, 편리한 입구","6만8천원, 맛있다는 후기가 많음","1300대 이상 주차 가능, 주차 무료","수원신갈 IC와 가까워 자차 접근성 좋음, 역 근처 셔틀 운행",신부대기실 깔끔하고 서브대기실 이쁨,복잡하지 않음,"대관료 650만원, 가격 저렴함","친절한 직원, 체계적인 서비스","신부대기실 화장실 없음, 연회장이 다른 층에 있어 복잡할까 걱정",200,,,,,
1020,송파 라비니움,밝은 홀,맛있다고 유명함,"최대 150대 주차 가능, 공영주차장 3,000대 주차 가능",교통이 편리함,,,비공개,,홀 주차장이 부족하여 공영주차장 활용 필요,300,,,,,
1021,경기장 그랜드오스티엄 cmcc홀,"밝고 넓은 홀, 스포트라이트 조명이 푸르딩딩함","대관료 600만원, 식대 6.6만원",,경기장에 위치하여 하객들이 차를 끌고 오기 편리함,신부대기실이 작고 소파가 촌스러움,축의대 동선이 맘에 안듦,"대관료 150만원, 식대 5.3만원으로 합리적",상담이 친절하고 웨딩홀 장점에 대해 상세히 설명해줌,신부대기실이 작고 조명이 창백해 보임,200,,,,,
1022,신도림 더링크 호텔,"높은 층고와 화려한 장식, 어두운 홀과 밝은 홀의 차별화된 분위기","15만원(주류 포함), 2500만원","협소한 주차장, 외부 주차장 있음","신도림역에서 도보 10분, 셔틀버스 이용 가능",적절한 크기와 예쁜 꽃장식,220~230명 착석 시 혼잡할 가능성,"2500만원, 비싼 가격에 대한 우려",,"협소한 주차장, 비싼 가격, 하객 수에 따른 혼잡 우려",250,,,,,
1023,부천 소풍컨벤션웨딩>라온제나홀,어두운 편의 홀,"식대 75,000원, 대관료 7,500,000원 (연출 포함)",주차장 여유로움,,,엘리베이터 여유로워 손님 불편 없음,,스드메 패키지 퀄리티 좋고 가격 괜찮음,밝은 홀 대신 어두운 홀 예약으로 아쉬움,300,,,,,
1024,여의도 더파티움 그랜드컨벤션홀,"넓고 밝은 홀, 천장이 약간 휑한 느낌","121,000원, 한상차림으로 맛있다는 후기",넉넉한 주차공간,,,넓어서 300명 수용 가능,대관료 715만원 760만원(꽃장식),대형 스크린에서 신랑과 신부가 모두 주인공이 될 수 있음,천장 쪽이 휑한 느낌,300,,,,,
1025,여의도 글래드,"전형적인 호텔 웨딩홀 느낌, 깔끔하고 단정한 분위기, 조명이 잘 들어와 고급스러움","95,000원, 코스요리 구성 아쉬움","호텔 지하주차장 3시간 기준, 주차 공간 여유 있음, 지방 하객은 인근 KBS홀 주차장 이용","9호선 국회의사당역 바로 앞, 대중교통 접근성 좋음",,"하객 동선 편리, 주변에 IFC몰과 한강공원 있어 좋음","1,200만원, 꽃 900 대관료 200 기타",,"지하 위치로 답답함, 부모님 불호, 식사 양 부족할 수 있음",200,,,,,
1026,부천 단독홀,"넓은 신부대기실과 대기로비, 고급스러운 분위기","6만5천원, 가성비 최고","400대 주차 가능, 혼잡할 가능성 있음","부천역 바로 앞, 대중교통 편리","넓고 깔끔한 신부대기실, 화장실과 가까움","약간 북적거림, 소란스러울 수 있음","700만원, 홀패키지로 총합 1350만원, 가성비 좋음","드레스룸 깔끔, 헬퍼가 배테랑처럼 느껴짐",주차 혼잡 예상,200,,,,,
1027,선릉 아펠가모,차분하면서도 화사한 느낌,"식대 7만원대, 음식이 깔끔하고 다양함",주차장 출입구가 좁음,2호선 및 분당선 이용이 편리함,,,대관 700만원대,,주차장 출입구가 좁음,250,,,,,
1028,강서 루이비스 컨벤션,"밝은 홀, 시선이 분산되는 분위기",식대 8.8만원,,가양역 근처,,,"대관료 1,200만원",,조감도대로 나오지 않을까 걱정,200,,,,,
1029,서울역 인근 아벤티움,"과하지 않고 깔끔한 분위기, 단독홀로 여유롭고 프라이빗한 느낌","85,000원, 가성비 좋음",,,넓고 쾌적하며 고급스러운 혼주대기실,"하객 동선이 짧고 직관적, 스트레스 없음","800만원, 추가금 거의 없음","기본 예식에 필요한 구성 대부분 포함, 신뢰할 수 있는 상담 과정",,200,,,,,
1030,라시따시어터,"웅장함이 느껴지는 천고, 아기자기한 로비","11만원, 음식 종류 다양하고 디저트 아름다움",주차 공간 널널,"양재에서 셔틀 운영, 고속도로 출구 근처",생화와 채광이 잘 어우러진 예쁜 신부대기실,,"1,600만원, 예산 초과로 계약하지 않음",상담 시 친절한 설명 제공,고속도로 출구에서의 교통 체증으로 상담에 지장,250,,,,,
1027,선릉 아펠가모,"단독홀, 조명으로 제어된 적당한 밝기","식대 10만원, 식사 퀄리티 괜찮음",웨딩홀에서만 사용하는 주차장으로 여유로움,선릉역 4번 출구에서 도보 5분,"생화 장식, 신부 화장실 별도, 입구가 복도식으로 혼잡할 수 있음",혼잡할 가능성 있음,"대관료 1,000만원, 투명한 가격 정책",전문 사회자와 식전 축가 지원,신부 대기실 입구가 복도식으로 혼잡 예상,230,,,,,
1031,인천 그레이스 파티,"화려하고 고급스러운 분위기, 단독홀로 여유로운 예식 가능",8만원,"주차 공간 잘 마련되어 있고, 주차 동선 단순","인천 지역에 위치, 자차 및 대중교통 접근성 좋음",,하객 이동이 편리함,"대관료 90만원, 합리적인 가격","친절하고 자세한 상담, 내부 연계 시설(한복집, 혼주 메이크업샵)",예식 시간이 늦어 마지막 타임일까봐 걱정됨,200,,,,,
1032,강남 상록아트홀,"복층 구조로 긴 버진로드, 분위기 좋음","9,200원, 맛있는 식사가 유명함","넓고 편리한 주차, 친절한 주차 안내",,,"대부분의 하객이 서서 보는 구조, 어르신들에게 불편할 수 있음","대관료 920만원, 정찰제",주차 안내 직원들이 친절함,"신부가 계단을 오르내리는 버진로드로 드레스가 밟힐 우려, 좌석 수 적음",,,,,,
1033,브라이튼하우스,밝은 홀 분위기,"정가 9.5만원, 할인가 8.5만원, 꽃 770, 대관료 및 디렉팅비 800/400",발렛 서비스 제공,,단독 예식으로 하객 불편 없음,원활할 것으로 예상,합리적인 가격으로 보임,,"홀에 있는 꽃이 싱싱하지 않을까 걱정, 음식 미리 먹어보지 못함, 입장 길에 의자 문제",100,,,,,
1034,기흥 ICT밸리컨벤션,"높은 층고(13m)와 개방감 있는 로비, 어두운 홀에 화려한 샹들리에와 긴 버진로드(28m)","식사 68,000원, 찹쌀 탕수육 맛집, 와인 디스펜서 있음","1,300대 주차 가능, 주말 무료 주차","수인분당선 기흥역에서 셔틀버스 운행, 신갈 IC 근처","신부대기실은 하얀 배경과 꽃으로 둘러싸인 의자, 깔끔하고 예쁨","동선이 좋고, 축의금 접수대가 편리함","대관료 650만원, 가격에 대한 언급은 없음",상담 담당자들이 꼼꼼하고 세심하게 설명해줌,신부대기실 내 화장실 없음,200,,,,,
1035,잠실 아펠가모,"무난하고 튀지 않는 분위기, 단독홀에 2층 위치","10만원, 밥이 맛있기로 유명함",주차장 입구가 좁음,,,"하객 입장 편리, 엘리베이터 4대 있음","1000만원, 금액대가 합리적",예약 상담 친절하고 자세한 설명,주차가 불편할 수 있음,250,,,,,
1036,남산뜰,"프라이빗한 결혼식 느낌의 야외 예식홀, 루프탑이 매력적","기본 식대 78,000원, 현대그린푸드 코스 및 뷔페 가능","용산구청 주차장 이용, 100-150대 주차 가능, 발렛 서비스 제공",해방촌에서 조금 올라가야 입장,,,"대관료 550만원, 당일 현장 계약 할인 100만원",디렉터와의 소통이 원활하고 요청 사항을 잘 반영,주차 문제에 대한 걱정,250,,,,,
1037,호텔 나루,"5성급 호텔, 깔끔하고 정돈된 느낌, 층고가 낮고 버진 로드가 ㄱ자로 꺾여 있음","정가 식대 14만원, 대관료 2000만원, 할인가 식대 10.5만원, 대관료 700만원",모든 하객 발렛 무료,,,200명 이상일 경우 별도의 공간 사용 필요,"대관료 2000만원, 꽃장식 1300만원, 추가금액 발생",유명한 플뢰르 오꾸엥 플라워 디렉팅 가능,200명 초과 시 별관 사용으로 인한 하객 배치 문제,250,,,,,
1027,선릉 아펠가모,,"맛있는 뷔페, 강남권에서 가격대비 우수",,선릉역 도보로 가까움,,,,,,230,,,,,
1038,엘타워 그랜드홀,"높은 층고와 긴 버진로드, 클래식하고 예쁜 홀","정가식대 14만원, 잔치국수 5000원, 와인 7.7만원, 대관료 660만원 꽃장식 800만원",주차 공간 넓고 편리함,,예쁜 신부대기실,,"96500원, 합리적인 금액으로 풍성한 연출","식사 퀄리티가 좋음, 오르간 연주 필수","오르간 곡 선택이 한정적, 신랑 신부 입장곡 아쉬움",250,,,,,
1039,수원 파티움하우스,"밝고 화사한 하우스웨딩홀 느낌, 넓고 깔끔한 로비","대관료 700만원, 식대 72,000원, 시그니처 음식은 연어 스테이크",동시주차 1000대 가능,수원시청역에서 가까움,"화사하고 밝은 신부대기실, 큰 거울과 브라이덜샤워 테이블 구비",동선이 편리하고 복잡하지 않음,"대관료 400만원, 식대 67,000원으로 합리적",모든 부대시설이 잘 갖춰져 있어 편리함,주차가 복잡할 수 있다는 걱정이 있었으나 주차요원이 상주하여 수월하게 주차 가능,,,,,,
1040,라루체>아이리스홀,"특별한 입퇴장 시 천장이 열리는 홀, 신부 대기실이 크고 예쁨","정가 식대 107,000원, 할인가 82,000원, 맛있다는 후기가 있음","같은 건물 주차는 제한적, 근처 주차장 이용 가능",,신부 대기실과 혼주용 탈의실이 넓고 깔끔함,,"대관료 1,500만원, 식대가 다소 비쌈",폐백실이 따로 마련되어 있어 폐백 한복 착용 후 사진 촬영 가능,주차 공간이 부족하고 식대가 비쌈,150,,,,,
1041,강남 토브헤세드,"밝고 감성적인 분위기, 하우스웨딩 콘셉트, 자연광과 플라워 연출이 어우러짐","정가 식대 91,000원, 할인가 식대 66,000원, 음주류 7,000원, 총 합계 18,350,000원",,"학동역 근처, 대중교통 접근성 괜찮음","계단 이용, 어르신들께 불편할 수 있음",입구와 로비 공간이 좁아 대기 공간 부족,"3시간 대관, 1부, 2부로 나눠 진행 가능","실장님의 음식 조리에 대한 자신감, 직접 조리하는 뷔페","입구와 로비가 좁고, 버진로드 길이가 짧음, 음식 냄새가 먼저 느껴짐, 뷔페 공간이 좁음",250,,,,,
1042,인천 엘마리노,"밝은 홀, 단독홀, 층고 18M, 버진로드 35M","대인 9만원, 소인 4만원, 프로모션 진행 중",,,신부대기실 3~40평대,,"홀 패키지 3~400만원대, 만족스러움",플래너 없이 준비 가능,공사 중이라 현재 모습 확인 불가,200,,,,,
1043,더세인트,,"78,000원",,,,,"대관료 889만원, 식대 78,000원",,,200,,,,,
1044,인천 그랜드오스티엄 cmcc홀,"층고가 높고 사진 잘 나오는 홀, 부드럽고 예쁜 분위기","대관료 650만원, 식대 6만5천원","주차 4,000대 이상 가능, 3시간 무료주차 제공",문학경기장역과 가까워 대중교통 접근성 편리,신부대기실과 홀 연결이 간편하고 보조 신부대기실 마련,동선이 간단하고 편리하여 하객들이 길 잃을 걱정 없음,"대관료 270만원, 식대 5만9천원으로 합리적",친절한 직원의 안내로 편안한 상담 분위기,,250,,,,,
1045,안산 빌라드지디,밝고 고급스러운 분위기,7만원,,,,,"대관료 645만원, 식대 7만원",,,100,,,,,
1046,광명>아이벡스컨벤션,"고급스럽고 어두운 분위기, 높은 층고와 웅장한 느낌","식대 11만원, 뷔페 맛이 좋음","3,200대 주차 가능",KTX광명역 도보 2분,신부대기실 층고가 높고 화이트 톤,,"대관료 1,500만원",상담 시 세세한 설명으로 신뢰감 제공,실물을 보지 못하고 계약해야 한다는 점이 걱정됨,,,,,,
1047,신도림 웨딩시티,"넓은 로비와 연회장, 층고가 높은 비쥬얼 홀","대관료 800만원, 식대 63,000원",,,,이동에 어려움이 있을 수 있음,"대관료 600만원, 식대 58,000원, 가격 메리트가 큼",꽃향과 디퓨저 향이 좋음,"보증인원 300명, 하객이 다 채워지지 않을 경우 비어보일 우려, 연회장 이동 불편",300,,,,,
1048,강남구 셀럽엔어샘,"어두운 조명 조절 가능, 넓은 신부 대기실","뷔페, 대게찜과 스테이크 포함, 맛이 괜찮음",주차 편리,,넓어서 하객들과 작가들이 사진 찍기에도 불편함 없음,동선이 맘에 듦,"조건 좋은 웨딩홀, 강남구 거주민/직장인 할인 있음","이솔 과장님이 꼼꼼히 설명, 여유 있는 상담",,,,,,,
1049,dmc 타워웨딩,,"78,000원",,,,,"대관료 1,100만원, 변동 가능성 있음",,,200,,,,,
1050,안양 더파티움,,6.5만원,,,,,"대관료 570만원, 인원과 견적 변동 가능",,,200,,,,,
1051,청담 더채플앳,,"77,000원",,,,,"대관료 592만원, 인원과 견적 변동 가능",,,200,,,,,
1052,인천 그레이스파티,"어두운 홀에 화려한 조명과 높은 층고, 세련된 분위기","정가 식대 9만원, 할인 식대 7.7만원",,"부평역 근처, 대중교통 접근 용이",,동선이 괜찮음,"정가 대관료 800만원, 할인 대관료 670만원",무제한 와인과 생맥주 제공,,,,,,,
1053,송도 라마다 신의정원홀,"화이트톤으로 밝고 청순한 이미지, 원형 테이블과 파스텔톤 꽃 장식으로 여리여리함 극대화","대관료 400만원, 식대 6만원","후문으로 입장 가능, 무료주차","동춘역 도보권, 셔틀버스 있음","넉넉한 소파 자리, 채광과 조명 균형이 좋음, 대기실 앞 동선 깔끔",하객 동선 편리함,"대관료 280만원, 식대 5만6천원",상담 실장님이 명확하고 세세한 설명 제공,,250,,,,,
1054,강서 루이비스,"층고가 높고 통창이 있는 밝은 홀, 노후화된 건물","88천원, 저렴한 견적",주차장이 좁고 대절버스 주차 공간 부족,역에서 도보 7분,,복잡할 가능성 있음,"1200만원, 저렴한 견적",,"단독건물이 아님, 노후화된 건물, 주차 공간 부족",250,,,,,
1055,건대입구 까사그랑데 센트로,"층고가 높고 환한 분위기, 기둥이 있어 답답함이 느껴질 수 있음","대관료 1430만원, 식대 11만원",,건대입구역 도보 5분,,엘리베이터가 2대밖에 없어 붐빌 가능성 있음,"1100만원, 성수기 피크타임으로 비쌈","연회장을 에스컬레이터로 이동 가능, 하객이 겹치지 않도록 층 분리",엘리베이터 수 부족으로 인한 혼잡,250,,,,,
1056,강남 브라이튼 하우스,"깔끔하고 환한 예식장, 온실 같은 분위기","식대 89,000원, 후기가 좋음",,"양재시민의 숲에서 접근 가능, 지방 손님들도 광역버스로 편리",,,"대관료 500만원, 디렉션 300만원, 플라워 770만원","직원 친절, 단독홀 3시간 이용 가능","식사가 잘 제공되었으면 좋겠고, 낮타임에 식전영상이 잘 안보일까 걱정",180,,,,,
1057,비렌티 웨딩홀,"깔끔하고 밝은 분위기, 세련된 인테리어","다양한 뷔페 음식, 맛 좋음, 시식으로 걱정 덜 수 있음",넓은 주차 공간,"위치 좋음, 지인들이 찾아오기 편리함",,손님들이 여유롭게 식사 가능,다양한 패키지와 옵션 제공,"친절한 직원, 웨딩 플래너가 준비 과정 체크",,,,,,,
1058,안양 빌라드지디 크리스탈캐슬홀,"밝고 화사한 공주 느낌의 넓은 홀, 조명과 조도가 잘 조화됨","정가 식대 9.2만원, 할인가 식대 7만원, 뷔페형태","발렛 가능, 주차장 셔틀 자주 운행","인덕원역에서 셔틀버스 10분 간격, 대중교통 이용 시 불편함",신부대기실이 예쁘고 전용 화장실 있음,하객 동선이 겹치지 않음,"대관료 1800만원, 할인가 805만원",상담이 편리하고 의사소통이 원활함,대중교통 접근이 불편함,200,,,,,
1059,서울 라움아트센터 폰드가든,유럽 고성 분위기를 느낄 수 있는 특별한 실내 홀,"정가 식대 124,000원, 할인가 식대 111,600원","내부 주차 300대 가능, 2시간 30분 무료",,,,"대관료 30,000,000원, 플라워 18,000,000원, 타당한 가격으로 생각됨",직원 서비스와 코스 식사가 좋음,"내부에 ATM 없음, 편의점은 가까움",300,,,,,
1060,"인천광역시 미추홀구 주경기장 3,4F 그랜드오스티엄","따뜻한 느낌의 분위기, 층고는 낮음","가격 저렴, 밥이 맛있기로 유명",,,따뜻한 느낌,넓어서 하객들이 여유있을 것 같음,"가격 저렴, 비중 80%","친절한 상담, 포토부스와 넓은 축의대",층고가 낮음,200,,,,,
1061,인천 그랜드오스티엄 블리스홀,"단정하고 잔잔한 고급스러움, 캔들과 꽃 장식이 감성적","식대 5만4천원, 하이퀄리티 음식, 혼주석에 스테이크 코스 제공","4천대 이상 주차 가능, 3시간 무료주차",,"신부대기실과 혼주 헤어메이크업, 한복실이 가까운 위치","동선이 기가막힘, 한 층에서 이동 가능","대관료 180만원, 합리적","친절한 상담, 하객 메세지 서비스, 포토부스 제공",,250,,,,,
1062,여의도 더파티움,,"69,900원",,,,,"대관료 708만원, 식대 69,900원",,,200,,,,,
1063,세인트메리엘,,7만원,,,,,"대관료 320만원, 변동 가능성 있음",,,100,,,,,
1052,인천 그레이스파티,"어두운 홀에 화사하고 고급스러운 느낌, 깔끔한 리뉴얼 로비",,"주변에 빈 주차 공간 많음, 주차 불편 없음",,"화사하면서도 과하지 않은 꽃 장식, 풍성하게 꾸며져 있음",하객 동선이 복잡하지 않음,"패키지 상품 없음, 추가 옵션 개별 선택해야 함",직원 친절하게 안내,패키지 상품이 없어 비용 부담이 있음,200,,,,,
1008,삼성 노블발렌티,"깔끔하고 세련된 예식장, 넓은 로비와 고급스러운 인테리어",10만원,,"강남인근, 교통 편리","신랑, 신부와 혼주들이 편하게 준비할 수 있는 별도 공간 마련",쾌적하고 정신없지 않음,"1300만원, 2시간 동안 통건물 사용",친절한 상담과 세심한 디테일,보증인원 초과 우려,300,,,,,
1064,안산 빌라드지디 볼룸홀,"밝은 이미지, 천장이 보이고 통창 있는 분위기","9만원, 식사에 대한 긍정적인 후기",주차가 빡센 편,고잔역 도보 10분 이내,,"입장 시 거리 짧음, 호불호 갈림","대관료 1150만원, 경제적 프로모션 할인 적용",네이밍이 유명하여 인지도 높음,"대관료가 비쌈, 인기 있어 예약이 어려움",150,,,,,
1065,서울역 마렌지9,"천장 층고가 높은 단독홀, 웜톤 분위기","대관료 900만원, 식대 8.8만원",,서울역에서 환승 없이 접근 가능,2층 계단에서 신부가 내려오는 모습이 예쁨,,"대관료 700만원, 식대 7.9만원으로 합리적",재즈 3중주 연주로 신부에게 집중되는 장점,"핑크색 카페트, 작은 연회장, 보수공사 진행 중",250,,,,,
1066,백석 더테라스 단독홀,"밝은 홀, 야외 느낌과 개방감 최고",식사 퀄리티 아주 좋음,주차 자리 많음,"백석역터미널 근처, 접근성 미쳐버림",,,야외예식 가격 비쌈,상담 해주시는 분이 자신있게 맛있다고 하심,야외예식 날씨 걱정해야 함,,,,,,
1067,강남 엘리에나호텔 그랜드볼룸,탁트인 어두운 홀에서 밝은 홀로 변하는 매력적인 분위기,"정가 식대 138,000원, 할인가 식대 92,000원, 식사 맛있다는 평 많음","강남권 주차 걱정, 예식 때 붐빌 가능성 있음",,,동시예식으로 2층 구조에서 2층 먼저 식사 가능,"대관료 15,000,000원, 할인가 대관료 9,000,000원","본식 스냅 기본 포함, 원하는 업체와의 취소 가능","주차 문제, 예식 때 붐빌 가능성",300,,,,,
